"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.427921386E0	-3.299999982E-3	-6.657999940E-3	5.168399960E-2	5.221546493E-2
1.432767145E0	-2.640000079E-3	-9.668000042E-3	6.407699734E-2	6.485600522E-2
1.437612455E0	1.849999971E-4	-9.011999704E-3	6.996899843E-2	7.054722606E-2
1.442458222E0	5.894999951E-3	-5.741000175E-3	6.842499971E-2	6.891799978E-2
1.447303762E0	1.282399986E-2	-1.974999905E-3	6.284900010E-2	6.417439061E-2
1.452149376E0	1.715499908E-2	3.272000002E-3	5.494000018E-2	5.764896874E-2
1.456994916E0	1.934299991E-2	8.171999827E-3	4.522800073E-2	4.986487016E-2
1.461840460E0	1.994300075E-2	1.171000022E-2	3.445800021E-2	4.149941160E-2
1.466686227E0	2.099799924E-2	1.300700009E-2	2.386300080E-2	3.434444395E-2
1.471531767E0	2.082099952E-2	1.244900003E-2	1.462099981E-2	2.832428742E-2
1.476377286E0	2.061500028E-2	1.091699954E-2	5.247999914E-3	2.391026178E-2
1.481222899E0	2.070599981E-2	8.797000162E-3	-2.888000105E-3	2.268184702E-2
1.486068440E0	2.020400017E-2	6.016000174E-3	-9.588999674E-3	2.315907589E-2
1.490913964E0	1.858899929E-2	3.663999960E-3	-1.354499999E-2	2.329040178E-2
1.495759731E0	1.493499987E-2	1.078999951E-3	-1.626300067E-2	2.210664273E-2
1.500605272E0	8.627999574E-3	-6.040000007E-4	-1.773500070E-2	1.973163558E-2
1.505450819E0	4.220999777E-3	-5.469999742E-4	-1.693199947E-2	1.745877013E-2
1.510296433E0	2.035999903E-3	4.550000012E-4	-1.590899937E-2	1.604520432E-2
1.515141973E0	1.308999956E-3	3.556000069E-3	-1.298199967E-2	1.352371741E-2
1.519987503E0	2.834999934E-3	8.527999744E-3	-8.852999657E-3	1.261505478E-2
1.524833270E0	5.716000218E-3	1.320699975E-2	-2.165999962E-3	1.455297415E-2
1.529678810E0	6.552000064E-3	1.701400056E-2	5.289999768E-3	1.898391471E-2
1.534524358E0	5.305000115E-3	2.191199921E-2	2.013099939E-2	3.022475594E-2
1.539369971E0	-2.970000030E-3	1.976300031E-2	5.632799864E-2	5.976822326E-2
1.544215512E0	-1.405999996E-2	1.389500033E-2	7.136800140E-2	7.405502182E-2
1.549061050E0	-2.395300008E-2	1.392500009E-2	5.818000063E-2	6.444039350E-2
1.553906817E0	-3.008100018E-2	1.739699952E-2	3.441299871E-2	4.890579356E-2
1.558752358E0	-3.044899926E-2	2.062099986E-2	9.142000228E-3	3.789384329E-2
1.563597882E0	-2.563600056E-2	2.224300057E-2	-1.611799933E-2	3.757320190E-2
1.568443496E0	-2.076400071E-2	2.673299983E-2	-4.124300182E-2	5.335524533E-2
1.573289036E0	-1.935699955E-2	3.198499978E-2	-6.670500338E-2	7.646758214E-2
1.578134575E0	-2.404100075E-2	3.842199966E-2	-9.026800096E-2	1.010075827E-1
1.582980342E0	-3.059699945E-2	4.478399828E-2	-1.107779965E-1	1.233432097E-1
1.587825882E0	-3.897099942E-2	4.904299974E-2	-1.271860003E-1	1.417752916E-1
1.592671491E0	-4.056200013E-2	5.411100015E-2	-1.443350017E-1	1.593921858E-1
1.597517031E0	-3.723800182E-2	5.842100084E-2	-1.581829935E-1	1.726891472E-1
1.602362570E0	-3.234500065E-2	5.695199966E-2	-1.650460064E-1	1.775666454E-1
1.607208347E0	-2.664200030E-2	5.201100186E-2	-1.638969928E-1	1.740033469E-1
1.612053887E0	-2.086599916E-2	4.454499856E-2	-1.592109948E-1	1.666366937E-1
1.616899426E0	-1.381999999E-2	3.608199954E-2	-1.553969979E-1	1.601284798E-1
1.621745053E0	-1.271599997E-2	2.465200052E-2	-1.563059986E-1	1.587481747E-1
1.626590594E0	-2.032399923E-2	1.052699983E-2	-1.694190055E-1	1.709581297E-1
1.631436132E0	-2.309099957E-2	-4.999999874E-6	-1.921679974E-1	1.935503384E-1
1.636281914E0	-4.106999841E-3	-1.583800092E-2	-2.125380039E-1	2.131668662E-1
1.641127454E0	4.102399945E-2	-3.852799907E-2	-2.066150010E-1	2.141427885E-1
1.645972992E0	8.504600078E-2	-5.112599954E-2	-1.998980045E-1	2.231723601E-1
1.650818620E0	1.145820022E-1	-6.101299822E-2	-2.034620047E-1	2.413470707E-1
1.655664160E0	1.281860024E-1	-7.345499843E-2	-2.188919932E-1	2.640851996E-1
1.660509699E0	1.172979996E-1	-8.775100112E-2	-2.457289994E-1	2.860800588E-1
1.665355476E0	8.821900189E-2	-9.778299928E-2	-2.685390115E-1	2.990941456E-1
1.670201017E0	5.250699818E-2	-1.007009968E-1	-2.795729935E-1	3.017593981E-1
1.675046555E0	2.240400016E-2	-9.926799685E-2	-2.735239863E-1	2.918414733E-1
1.679892168E0	-6.082999986E-3	-1.061670035E-1	-2.477409989E-1	2.695997738E-1
1.684737709E0	-3.455499932E-2	-1.185169965E-1	-2.031089962E-1	2.376838042E-1
1.689583247E0	-6.659100205E-2	-1.377190053E-1	-1.440359950E-1	2.101124790E-1
1.694429015E0	-9.790199995E-2	-1.594009995E-1	-7.538700104E-2	2.016846057E-1
1.699274555E0	-1.260800064E-1	-1.802590042E-1	-4.954000004E-3	2.200318584E-1
1.704120094E0	-1.493239999E-1	-1.965630054E-1	6.358700246E-2	2.549077852E-1
1.708965731E0	-1.665789932E-1	-2.057099938E-1	1.299770027E-1	2.948884260E-1
1.713811271E0	-1.791059971E-1	-2.144329995E-1	1.958580017E-1	3.412049623E-1
1.718657039E0	-1.877219975E-1	-2.213480026E-1	2.642700076E-1	3.925214943E-1
1.723502363E0	-1.908490062E-1	-2.308380008E-1	3.318330050E-1	4.470152894E-1
1.728348131E0	-1.939879954E-1	-2.460280061E-1	3.968639970E-1	5.056304522E-1
1.733193748E0	-1.954780072E-1	-2.646920085E-1	4.582749903E-1	5.641714965E-1
1.738039186E0	-2.018419951E-1	-2.853690088E-1	5.176209807E-1	6.245855761E-1
1.742884799E0	-2.073159963E-1	-3.043380082E-1	5.684800148E-1	6.773264152E-1
1.747730568E0	-2.086949944E-1	-3.144690096E-1	6.081449986E-1	7.157406639E-1
1.752576123E0	-2.090310007E-1	-3.177219927E-1	6.372600198E-1	7.421196378E-1
1.757421661E0	-2.084710002E-1	-3.145129979E-1	6.591479778E-1	7.595094736E-1
1.762267275E0	-2.080859989E-1	-3.092010021E-1	6.778709888E-1	7.735723109E-1
1.767112820E0	-2.012650073E-1	-3.019500077E-1	6.968079805E-1	7.856352665E-1
1.771958358E0	-1.852740049E-1	-2.937240005E-1	7.221090198E-1	8.012750350E-1
1.776804126E0	-1.735029966E-1	-2.903349996E-1	7.528200150E-1	8.253094430E-1
1.781649661E0	-1.859859973E-1	-2.819409966E-1	7.796890140E-1	8.497037574E-1
1.786495200E0	-2.249590009E-1	-2.680119872E-1	7.774329782E-1	8.525485399E-1
1.791340813E0	-2.625859976E-1	-2.665089965E-1	7.689219713E-1	8.551137055E-1
1.796186354E0	-2.896229923E-1	-2.707340121E-1	7.644129992E-1	8.611072037E-1
1.801031892E0	-3.023140132E-1	-2.746880054E-1	7.653399706E-1	8.675209124E-1
1.805877659E0	-2.937589884E-1	-2.787460089E-1	7.707419991E-1	8.706531514E-1
1.810723171E0	-2.693569958E-1	-2.884399891E-1	7.656139731E-1	8.613452121E-1
1.815568709E0	-2.428759933E-1	-3.051350117E-1	7.421659827E-1	8.383951749E-1
1.820414248E0	-2.249480039E-1	-3.256410062E-1	6.960160136E-1	8.006759398E-1
1.825259861E0	-2.079229951E-1	-3.372580111E-1	6.258950233E-1	7.407560450E-1
1.830105630E0	-1.901540011E-1	-3.414430022E-1	5.339810252E-1	6.617232074E-1
1.834950940E0	-1.716600060E-1	-3.377049863E-1	4.285250008E-1	5.719663380E-1
1.839796722E0	-1.612070054E-1	-3.301160038E-1	3.172810078E-1	4.854189040E-1
1.844642263E0	-1.645929962E-1	-3.253870010E-1	2.106000036E-1	4.210937145E-1
1.849487801E0	-1.821780056E-1	-3.320100009E-1	1.151020005E-1	3.958130076E-1
1.854333424E0	-1.986079961E-1	-3.572930098E-1	6.788399816E-2	4.143810663E-1
1.859179193E0	-2.142419964E-1	-4.030590057E-1	1.052569970E-1	4.684391429E-1
1.864024733E0	-2.415619940E-1	-4.385859966E-1	7.360800356E-2	5.060909123E-1
1.868870253E0	-2.761879861E-1	-4.555149972E-1	8.892999962E-3	5.327783797E-1
1.873715791E0	-3.127630055E-1	-4.536699951E-1	-3.770599887E-2	5.523213778E-1
1.878561405E0	-3.414489925E-1	-4.282520115E-1	-9.758699685E-2	5.563366084E-1
1.883406954E0	-3.525849879E-1	-3.804630041E-1	-1.838659942E-1	5.503407808E-1
1.888252493E0	-3.487249911E-1	-3.211619854E-1	-2.853240073E-1	5.533208196E-1
1.893098260E0	-3.395709991E-1	-2.578240037E-1	-3.784280121E-1	5.700784514E-1
1.897943785E0	-3.321850002E-1	-1.947669983E-1	-4.449310005E-1	5.884255715E-1
1.902789324E0	-3.268499970E-1	-1.385740042E-1	-4.840239882E-1	6.002606904E-1
1.907634937E0	-3.214330077E-1	-8.940599859E-2	-5.011230111E-1	6.020273111E-1
1.912480464E0	-3.142260015E-1	-5.045500025E-2	-5.040760040E-1	5.961344688E-1
1.917326002E0	-3.057790101E-1	-1.974100061E-2	-4.992879927E-1	5.858148255E-1
1.922171769E0	-3.024689853E-1	9.980000323E-4	-4.874109924E-1	5.736357368E-1
1.927017295E0	-3.206349909E-1	-8.968999609E-3	-4.737609923E-1	5.721334793E-1
1.931862833E0	-3.439159989E-1	-2.320099995E-2	-4.586260021E-1	5.737197142E-1
1.936708447E0	-3.654130101E-1	-3.018100001E-2	-4.417299926E-1	5.740757329E-1
1.941553992E0	-3.836329877E-1	-2.982700057E-2	-4.172309935E-1	5.675787357E-1
1.946399531E0	-3.979530036E-1	-2.411700040E-2	-3.821820021E-1	5.522782863E-1
1.951245298E0	-4.020659924E-1	-1.546300016E-2	-3.410530090E-1	5.274593080E-1
1.956090823E0	-3.927789927E-1	-5.793999881E-3	-2.968499959E-1	4.923706201E-1
1.960936437E0	-3.673450053E-1	2.131999936E-3	-2.562499940E-1	4.478961462E-1
1.965781977E0	-3.311629891E-1	1.179299969E-2	-2.212810069E-1	3.984636549E-1
1.970627536E0	-2.887449861E-1	2.501299977E-2	-1.861550063E-1	3.444604527E-1
1.975473303E0	-2.430630028E-1	4.306000099E-2	-1.461780071E-1	2.868828974E-1
1.980318843E0	-1.933010072E-1	6.483899802E-2	-1.035339981E-1	2.286671463E-1
1.985164377E0	-1.381040066E-1	8.666799963E-2	-6.163100153E-2	1.743055913E-1
1.990009915E0	-7.064200193E-2	1.113459989E-1	-2.204100043E-2	1.336937905E-1
1.994855529E0	7.205000147E-3	1.437299997E-1	8.991000243E-3	1.441910639E-1
1.999701054E0	7.848600298E-2	1.928779930E-1	-4.049999989E-4	2.082357723E-1
2.004546821E0	1.395339966E-1	2.624610066E-1	-8.785799891E-2	3.099589395E-1
2.009392362E0	2.054190040E-1	3.227230012E-1	-1.050200015E-1	3.967068230E-1
2.014237891E0	2.824540138E-1	3.657619953E-1	-8.261200041E-2	4.694537781E-1
2.019083505E0	3.696840107E-1	3.947660029E-1	-7.592199743E-2	5.461415700E-1
2.023929045E0	4.514710009E-1	4.051989913E-1	-5.467300117E-2	6.090988625E-1
2.028774598E0	5.154970288E-1	3.964349926E-1	-3.194000106E-3	6.503138409E-1
2.033620365E0	5.602049828E-1	3.764620125E-1	6.978400052E-2	6.785448226E-1
2.038465905E0	5.950130224E-1	3.525669873E-1	1.370410025E-1	7.050703608E-1
2.043311478E0	6.203060150E-1	3.261719942E-1	1.769270003E-1	7.228214755E-1
2.048157091E0	6.369649768E-1	3.035880029E-1	1.892360002E-1	7.305479594E-1
2.053002632E0	6.405240297E-1	2.852649987E-1	1.782049984E-1	7.234667743E-1
2.057848175E0	6.307920218E-1	2.741819918E-1	1.523330063E-1	7.044712089E-1
2.062693714E0	6.065350175E-1	2.626349926E-1	1.213549972E-1	6.720036474E-1
2.067539481E0	5.693150163E-1	2.476499975E-1	8.603899926E-2	6.267797208E-1
2.072385006E0	5.400500298E-1	2.476010025E-1	4.865499958E-2	5.960936168E-1
2.118431707E0	-8.154339790E-1	2.969439924E-1	-4.766960144E-1	9.901249411E-1
2.137814537E0	-3.690062046E0	6.076160073E-1	-2.263777018E0	4.371549096E0
2.142660075E0	-2.485516071E0	4.846239984E-1	-1.755089998E0	3.081069857E0
2.147505845E0	-1.487655044E0	3.914659917E-1	-1.296872020E0	2.012023903E0
2.152351471E0	-7.419769764E-1	2.984899879E-1	-8.079659939E-1	1.136853180E0
2.157197238E0	-1.843169928E-1	2.456849962E-1	-2.793770134E-1	4.151931922E-1
2.162042856E0	-1.357059926E-1	1.988459975E-1	-2.070920020E-1	3.175577812E-1
2.166888607E0	-8.564399928E-2	1.659719944E-1	-1.294720024E-1	2.272544762E-1
2.171734224E0	-3.499500081E-2	1.456110030E-1	-4.688100144E-2	1.569236840E-1
2.176579763E0	1.778200082E-2	1.355160028E-1	4.281499982E-2	1.432267809E-1
2.181425533E0	7.462500036E-2	1.338880062E-1	1.327690035E-1	2.027868269E-1
2.186271150E0	1.305709928E-1	1.318189949E-1	2.182680070E-1	2.864715596E-1
2.191116918E0	1.852239966E-1	1.231409982E-1	2.911359966E-1	3.663765861E-1
2.195962442E0	2.403109968E-1	1.107719988E-1	3.454720080E-1	4.351674611E-1
2.200808055E0	2.928720117E-1	9.315100312E-2	3.833220005E-1	4.913113887E-1
2.205653825E0	3.377310038E-1	7.094500214E-2	4.074729979E-1	5.339753442E-1
2.210499465E0	3.706809878E-1	4.430599883E-2	4.193229973E-1	5.614260346E-1
2.215345232E0	3.894430101E-1	1.501300000E-2	4.205679893E-1	5.733835383E-1
2.220190773E0	3.928959966E-1	-1.237899996E-2	4.121139944E-1	5.695247564E-1
2.225036625E0	3.816120028E-1	-3.282399848E-2	4.008800089E-1	5.544455944E-1
2.229882165E0	3.561120033E-1	-4.183800146E-2	3.906809986E-1	5.302808878E-1
2.234727781E0	3.220489919E-1	-3.896100074E-2	3.806700110E-1	5.001431496E-1
2.239573318E0	2.872650027E-1	-2.663600072E-2	3.683210015E-1	4.678579042E-1
2.244419162E0	2.570739985E-1	-6.368000060E-3	3.585039973E-1	4.411946376E-1
2.249264932E0	2.347099930E-1	1.712399907E-2	3.498849869E-1	4.216651707E-1
2.254110452E0	2.228839993E-1	4.096199945E-2	3.393499851E-1	4.080607491E-1
2.258956068E0	2.233839929E-1	6.296899915E-2	3.228780031E-1	3.976376592E-1
2.263801835E0	2.361059934E-1	8.325599879E-2	3.002499938E-1	3.909317846E-1
2.268647456E0	2.612240016E-1	1.028070003E-1	2.734000087E-1	3.918607190E-1
2.273492995E0	2.993240058E-1	1.216389984E-1	2.470050007E-1	4.066969102E-1
2.278338762E0	3.478080034E-1	1.411100030E-1	2.299100012E-1	4.401602536E-1
2.283184378E0	4.043459892E-1	1.614769995E-1	2.286850065E-1	4.918000941E-1
2.288030146E0	4.679000080E-1	1.817920059E-1	2.452650070E-1	5.586892468E-1
2.292875763E0	5.348970294E-1	1.984259933E-1	2.719349861E-1	6.320097654E-1
2.297721538E0	6.196519732E-1	2.066269964E-1	3.022739887E-1	7.197449881E-1
2.302567156E0	6.824120283E-1	2.069939971E-1	3.631930053E-1	8.002761088E-1
2.307412694E0	7.153810263E-1	1.945810020E-1	4.146740139E-1	8.494623693E-1
2.312258480E0	7.248370051E-1	1.743730009E-1	4.340859950E-1	8.626849242E-1
2.317104098E0	7.173969746E-1	1.468410045E-1	4.335919917E-1	8.510127584E-1
2.321949865E0	6.891630292E-1	1.114709973E-1	4.125710130E-1	8.109169531E-1
2.326795462E0	6.410999894E-1	6.670200080E-2	3.834969997E-1	7.500188679E-1
2.331641001E0	5.827929974E-1	2.182099968E-2	3.504689932E-1	6.804060177E-1
2.336486768E0	5.192279816E-1	-1.619100012E-2	3.243019879E-1	6.123982566E-1
2.341332376E0	4.538820088E-1	-4.717399925E-2	3.100709915E-1	5.517048884E-1
2.346177915E0	3.935610056E-1	-6.934399903E-2	3.044350147E-1	5.023738981E-1
2.351023682E0	3.453679979E-1	-8.209899813E-2	3.049679995E-1	4.680008335E-1
2.355869314E0	3.146669865E-1	-8.572799712E-2	3.095470071E-1	4.496486978E-1
2.360715081E0	3.022370040E-1	-8.116000146E-2	3.188270032E-1	4.467491583E-1
2.365560698E0	3.077439964E-1	-7.418599725E-2	3.319329917E-1	4.586822871E-1
2.370406465E0	3.294520080E-1	-7.160700113E-2	3.432500064E-1	4.811307048E-1
2.375252006E0	3.675059974E-1	-7.905799896E-2	3.503870070E-1	5.138889763E-1
2.380097619E0	4.135270119E-1	-9.734100103E-2	3.541179895E-1	5.530636587E-1
2.384943404E0	4.588359892E-1	-1.283120066E-1	3.565909863E-1	5.951063498E-1
2.389789021E0	4.952110052E-1	-1.804800034E-1	3.486739993E-1	6.319656075E-1
2.394634788E0	4.990279973E-1	-2.919990122E-1	3.119480014E-1	6.569656922E-1
2.399480329E0	4.691990018E-1	-4.266110063E-1	2.500700057E-1	6.816741609E-1
2.404326173E0	4.210099876E-1	-5.274689794E-1	1.809020042E-1	6.987120072E-1
2.409171713E0	3.663060069E-1	-5.893830061E-1	1.409540027E-1	7.081104783E-1
2.414017338E0	2.954069972E-1	-6.195690036E-1	1.538169980E-1	7.034136145E-1
2.418862876E0	1.957820058E-1	-6.303730011E-1	2.123769969E-1	6.934008243E-1
2.423708720E0	7.994499803E-2	-6.352499723E-1	2.888500094E-1	7.024016358E-1
2.428554256E0	-2.389799990E-2	-6.437489986E-1	3.541150093E-1	7.351063375E-1
2.433400023E0	-9.707599878E-2	-6.585279703E-1	3.840419948E-1	7.684862335E-1
2.438245640E0	-1.387629956E-1	-6.813979745E-1	3.762530088E-1	7.906482753E-1
2.443091403E0	-1.719209999E-1	-7.094619870E-1	3.539310098E-1	8.112707938E-1
2.447937020E0	-2.014479935E-1	-7.358080149E-1	2.689709961E-1	8.089129283E-1
2.452782559E0	-2.039359957E-1	-7.542030215E-1	1.596300006E-1	7.974295111E-1
2.457628312E0	-1.846659929E-1	-7.724310160E-1	6.315399706E-2	7.967054855E-1
2.462473929E0	-1.621620059E-1	-7.921209931E-1	-2.647499926E-2	8.089827622E-1
2.467319696E0	-1.402010024E-1	-8.135560155E-1	-1.031609997E-1	8.319686913E-1
2.472165324E0	-1.218009964E-1	-8.335130215E-1	-1.668709964E-1	8.587347490E-1
2.477010862E0	-1.040169969E-1	-8.492869735E-1	-2.131779939E-1	8.817895191E-1
2.481856630E0	-8.659800142E-2	-8.572450280E-1	-2.419880033E-1	8.949449400E-1
2.486702247E0	-7.310900092E-2	-8.596529961E-1	-2.535429895E-1	8.992398163E-1
2.491548014E0	-7.310800254E-2	-8.577489853E-1	-2.468889952E-1	8.955625482E-1
2.496393632E0	-8.977200091E-2	-8.540539742E-1	-2.245180011E-1	8.876235327E-1
2.501239403E0	-1.179789975E-1	-8.507159948E-1	-1.922560036E-1	8.801131283E-1
2.506084943E0	-1.496109962E-1	-8.526419997E-1	-1.567430049E-1	8.797443944E-1
2.510930557E0	-1.759389937E-1	-8.594819903E-1	-1.207979992E-1	8.855822818E-1
2.515776317E0	-1.961070001E-1	-8.722329736E-1	-7.971700281E-2	8.975539628E-1
2.520621934E0	-2.288420051E-1	-9.072070122E-1	1.183819994E-1	9.430840493E-1
2.525467702E0	-2.413019985E-1	-9.611080289E-1	2.654989958E-1	1.025887428E0
2.530313324E0	-2.132810056E-1	-1.004356027E0	2.980819941E-1	1.069145776E0
2.535158862E0	-1.855019927E-1	-1.012331009E0	2.648980021E-1	1.062730451E0
2.540004630E0	-1.759829968E-1	-9.395390153E-1	3.094770014E-1	1.004728616E0
2.544850218E0	-1.771800071E-1	-8.316959739E-1	4.134590030E-1	9.455470877E-1
2.549695985E0	-1.789669991E-1	-7.403780222E-1	4.961960018E-1	9.090650552E-1
2.554541526E0	-1.761189997E-1	-6.738359928E-1	5.252900124E-1	8.723545405E-1
2.559387129E0	-1.558990031E-1	-6.367549896E-1	4.856759906E-1	8.158692198E-1
2.564232898E0	-1.160999984E-1	-6.205629706E-1	3.836250007E-1	7.387460669E-1
2.569078521E0	-7.289499789E-2	-6.137380004E-1	2.379440069E-1	6.622728775E-1
2.573924288E0	-6.118899956E-2	-6.101940274E-1	8.392100036E-2	6.189697723E-1
2.578769829E0	-9.939099848E-2	-6.064010262E-1	-4.261500016E-2	6.159681919E-1
2.583615442E0	-1.719640046E-1	-5.921289921E-1	-1.359310001E-1	6.313997141E-1
2.588461211E0	-2.491769940E-1	-5.578550100E-1	-2.025350034E-1	6.436705789E-1
2.593306829E0	-3.121599853E-1	-5.078330040E-1	-2.369239926E-1	6.414602050E-1
2.598152605E0	-3.717409968E-1	-4.437449872E-1	-2.160339952E-1	6.178767430E-1
2.602998222E0	-4.429650009E-1	-3.617640138E-1	-1.251340061E-1	5.854483010E-1
2.607843990E0	-4.992429912E-1	-2.562740147E-1	-5.800000145E-5	5.611772788E-1
2.612689521E0	-5.173839927E-1	-1.363189965E-1	1.182639971E-1	5.479556896E-1
2.617535134E0	-5.196390152E-1	-2.375400066E-2	2.240300030E-1	5.663730227E-1
2.622380904E0	-5.165910125E-1	6.987199932E-2	3.017480075E-1	6.023290052E-1
2.627226540E0	-5.038080215E-1	1.364089996E-1	3.296360075E-1	6.173247405E-1
2.632072307E0	-4.617219865E-1	1.860000044E-1	3.016979992E-1	5.820694780E-1
2.636917848E0	-3.972150087E-1	2.282260060E-1	2.269929945E-1	5.112657749E-1
2.641763446E0	-3.194319904E-1	2.746489942E-1	1.237469986E-1	4.390696826E-1
2.646609215E0	-2.519710064E-1	3.261530101E-1	2.148599923E-2	4.127067024E-1
2.651454833E0	-2.073860019E-1	3.829349875E-1	-6.504599750E-2	4.403170906E-1
2.656300382E0	-2.039619982E-1	4.440680146E-1	-1.232910007E-1	5.039817151E-1
2.661146149E0	-2.553020120E-1	5.140429735E-1	-1.530939937E-1	5.940177328E-1
2.665991767E0	-3.312979937E-1	6.083959937E-1	-3.133789897E-1	7.603357396E-1
2.670837520E0	-4.344260097E-1	7.202709913E-1	-4.131309986E-1	9.371197793E-1
2.675683138E0	-5.607280135E-1	8.215839863E-1	-3.983120024E-1	1.071479633E0
2.680528905E0	-6.763269901E-1	8.922259808E-1	-3.105410039E-1	1.161861056E0
2.685374522E0	-7.340090275E-1	9.417170286E-1	-2.827169895E-1	1.227000045E0
2.690220061E0	-7.486780286E-1	9.673269987E-1	-2.690170109E-1	1.252441801E0
2.695065828E0	-7.374280095E-1	9.749820232E-1	-1.954209954E-1	1.237973901E0
2.699911440E0	-6.995049715E-1	9.882559776E-1	-7.467500120E-2	1.213067780E0
2.704757208E0	-6.619520187E-1	1.018988013E0	9.100300074E-2	1.218523119E0
2.709602825E0	-6.502329707E-1	1.048043013E0	2.832440138E-1	1.265473921E0
2.714448377E0	-6.628220081E-1	1.054047942E0	4.756020010E-1	1.332871840E0
2.719294145E0	-6.762769818E-1	1.035930037E0	6.377879977E-1	1.391860312E0
2.724139757E0	-6.729949713E-1	1.002984047E0	7.465299964E-1	1.419931782E0
2.728985524E0	-6.607919931E-1	9.622619748E-1	8.034530282E-1	1.417085366E0
2.733831142E0	-6.487309933E-1	9.182549715E-1	8.115739822E-1	1.386613293E0
2.738676680E0	-6.510850191E-1	8.773030043E-1	7.682070136E-1	1.335557666E0
2.743522447E0	-6.646530032E-1	8.393700123E-1	6.637279987E-1	1.259698570E0
2.748368065E0	-6.625459790E-1	7.980419993E-1	4.744119942E-1	1.140572202E0
2.753213842E0	-6.562640071E-1	7.407820225E-1	2.381069958E-1	1.017907360E0
2.758059459E0	-6.598569751E-1	6.704549789E-1	-5.909000058E-3	9.407210121E-1
2.762904998E0	-6.559640169E-1	6.074910164E-1	-2.458789945E-1	9.272489452E-1
2.767750869E0	-6.537430286E-1	5.620989799E-1	-4.580950141E-1	9.763125794E-1
2.772596410E0	-6.552230120E-1	5.397040248E-1	-6.154180169E-1	1.048492711E0
2.777442177E0	-6.705170274E-1	5.311740041E-1	-7.113320231E-1	1.112534114E0
2.782287809E0	-6.850510240E-1	5.242220163E-1	-7.590770125E-1	1.149043750E0
2.787133576E0	-6.909310222E-1	5.078700185E-1	-7.774789929E-1	1.157493506E0
2.791979194E0	-6.697779894E-1	4.832960069E-1	-7.916259766E-1	1.144049506E0
2.796824722E0	-6.197180152E-1	4.507400095E-1	-8.144999743E-1	1.118314438E0
2.801670490E0	-5.382969975E-1	4.078390002E-1	-8.579559922E-1	1.091872150E0
2.806516107E0	-4.139730036E-1	3.506610096E-1	-9.280920029E-1	1.075030956E0
2.811361860E0	-2.587760091E-1	2.820610106E-1	-1.018424034E0	1.087984811E0
2.816207478E0	-9.701099992E-2	2.082819939E-1	-1.110224962E0	1.133751291E0
2.821053016E0	4.899999872E-2	1.363620013E-1	-1.189476967E0	1.198270024E0
2.825898778E0	1.893700063E-1	7.295200229E-2	-1.260732055E0	1.276960574E0
2.830744396E0	3.274599910E-1	1.347600017E-2	-1.314607024E0	1.354844373E0
2.835590163E0	4.771339893E-1	-1.986500062E-2	-1.371626019E0	1.452380597E0
2.840435771E0	6.189010143E-1	-3.874899819E-2	-1.438182950E0	1.566176921E0
2.845281539E0	7.281649709E-1	-6.400799751E-2	-1.516458035E0	1.683438808E0
2.850127079E0	8.284090161E-1	-9.583599865E-2	-1.624920011E0	1.826420290E0
2.854972696E0	9.509350061E-1	-1.128709987E-1	-1.753190041E0	1.997671787E0
2.859818466E0	1.094287992E0	-9.789399803E-2	-1.879942060E0	2.177436931E0
2.864664083E0	1.241086006E0	-5.194599926E-2	-1.988237977E0	2.344372648E0
2.869509864E0	1.375061035E0	1.309600007E-2	-2.063254118E0	2.479512434E0
2.874355482E0	1.492136955E0	8.275199682E-2	-2.099452972E0	2.577018310E0
2.879201016E0	1.590075970E0	1.407109946E-1	-2.096168041E0	2.634779238E0
2.884046783E0	1.677047014E0	1.739259958E-1	-2.062573910E0	2.664009773E0
2.888892401E0	1.751858950E0	1.814710051E-1	-2.009712934E0	2.672243923E0
2.893738182E0	1.808771014E0	1.707160026E-1	-1.940927029E0	2.658569966E0
2.898583799E0	1.848490953E0	1.533650011E-1	-1.865211964E0	2.630485753E0
2.903429338E0	1.866539001E0	1.353340000E-1	-1.787464976E0	2.587916957E0
2.908275110E0	1.865079999E0	1.129920036E-1	-1.714604974E0	2.535973346E0
2.913120728E0	1.853633046E0	8.445599675E-2	-1.656443954E0	2.487346951E0
2.917966495E0	1.828003049E0	4.949599877E-2	-1.622684956E0	2.444821357E0
2.922812112E0	1.784322023E0	9.269000031E-3	-1.616045952E0	2.407383542E0
2.927657651E0	1.726201057E0	-3.178599849E-2	-1.630782008E0	2.374916925E0
2.932503418E0	1.657613039E0	-7.197400182E-2	-1.659427047E0	2.346605925E0
2.937349020E0	1.576500058E0	-1.128069982E-1	-1.689494014E0	2.313540117E0
2.942194788E0	1.489328027E0	-1.509010047E-1	-1.705950022E0	2.269611104E0
2.947040405E0	1.405735016E0	-1.843129992E-1	-1.699257016E0	2.213037872E0
2.951886172E0	1.331645966E0	-2.093189955E-1	-1.665364027E0	2.142552861E0
2.956731790E0	1.270905972E0	-2.256200016E-1	-1.602813959E0	2.057940466E0
2.961577328E0	1.222825050E0	-2.341279984E-1	-1.514018059E0	1.960195834E0
2.966423076E0	1.188254952E0	-2.364650071E-1	-1.405948997E0	1.855952077E0
2.971268694E0	1.169793010E0	-2.280550003E-1	-1.285336018E0	1.752858650E0
